gene	pval
C8A	0.68016
DKFZP586K1520	0.681307885
PRPSAP1	0.681307885
CP	0.683081703
IRS2	0.683081703
RFX3	0.683081703
OSBPL9	0.683219069
RAB36	0.683219069
C1orf112	0.683726065
CHPT1	0.684163038
FAM131B	0.684163038
MFSD11	0.684163038
MME	0.684163038
PMP22	0.684163038
MAB21L1	0.684228079
GLUD1	0.684322679
HMGN1	0.684322679
PRKCA	0.685237037
F7	0.686177292
MYL6	0.688378593
EXOSC5	0.688974841
COPS5	0.68916155
KIF21B	0.68916155
NUFIP1	0.68916155
PHOX2B	0.689261444
BXDC2	0.68979769
MRPL39	0.69129584
HGD	0.691296275
NCAM2	0.69206765
MPPED2	0.692813568
UPP1	0.692878399
YARS	0.693355631
NMT1	0.693443766
LOC552889	0.694660137
PGK1	0.69507052
OSTM1	0.695952925
PRRX1	0.695952925
LSM8	0.697375542
CCNE2	0.697651309
HIP1R	0.697651309
PCLO	0.697651309
TYK2	0.697651309
XPOT	0.69765354
BAI3	0.698041746
GTPBP4	0.698384398
ICMT	0.699020967
MYH9	0.700246661
CHST2	0.700518251
SEC16A	0.700518251
CCT2	0.700793494
MYO1E	0.700793494
RHOQ	0.700793494
SNAP91	0.700825083
ULK2	0.700868653
BTN3A3	0.701122197
NID2	0.701278891
P4HA2	0.701516266
TNPO3	0.702865272
NARS	0.702911112
PPAT	0.703245305
PCDHB12	0.705143494
SNAPC5	0.705143494
YTHDF1	0.705666346
ZBED1	0.705666346
KIF3C	0.705835825
NADSYN1	0.705844931
PSMG1	0.706034766
CAP2	0.706912221
TRIM10	0.706912221
LILRA2	0.707243331
ALAS2	0.707324894
GDAP1L1	0.707828573
CNR1	0.708028116
LTA4H	0.708459433
SLC17A6	0.708630894
SUSD5	0.709104646
TGFA	0.709340476
AKR1C3	0.70978335
TMEPAI	0.710283157
KARS	0.710381729
POU3F3	0.711046582
C2CD2	0.711250254
ARL4D	0.711527677
SPEN	0.712151142
RPA3	0.712589941
PLP1	0.712975396
NHLH2	0.714097631
MPP1	0.715785102
RNASE1	0.71617278
FAM110B	0.717785865
PYROXD1	0.718236802
DDX60	0.718420417
PCDHB11	0.718420417
CDON	0.720184764
CPVL	0.720219967
LOC728411	0.720224225
PHLDA3	0.720224225
RFC4	0.720224225
SLC37A4	0.720224225
LRP4	0.720325366
ARMCX6	0.720953435
GAS2	0.72095738
TMEM87A	0.720998386
PPM1E	0.721252619
HOXD11	0.721365768
HRASLS2	0.721681741
ACSL4	0.721963795
ALG3	0.722146582
TENC1	0.722146582
DBNDD2	0.722894827
LRP10	0.722894827
NSF	0.722894827
APOBEC3G	0.723500334
MTCP1	0.724075254
DDX17	0.725453728
C15orf15	0.725472094
BTN2A1	0.727298606
GPX3	0.728395469
TUBB	0.728620724
AGTR2	0.728960093
EIF3C	0.728960093
NECAP2	0.728960093
TSPAN5	0.728960093
KIAA0152	0.729273691
NUDT9	0.729575938
MAPRE3	0.730337173
GAL3ST4	0.730980486
SLC1A2	0.732289291
OLFML2B	0.734101679
HP	0.735217403
ALPK3	0.735291787
BAMBI	0.736251276
KIAA0406	0.736419361
OGT	0.736508653
ZBTB20	0.736741513
CYP1A2	0.737448643
SEMA3A	0.737448643
FTO	0.738668477
NOL12	0.741649147
HERC1	0.742235222
PIGO	0.742235222
MDM1	0.743601675
GYPA	0.743919963
GLT8D2	0.743981236
PMS2L1	0.743993755
CKS1B	0.745018129
NAE1	0.746900962
MAGOH	0.747141839
EAPP	0.747685352
PTPRC	0.74770629
CA14	0.747901779
B4GALT5	0.748521669
EMP1	0.748521669
LOC440434	0.748521669
MAD2L1	0.748521669
OR2H2	0.751209422
ERAF	0.751705937
MRPS6	0.751898985
ATIC	0.752135476
KIAA0485	0.752979404
MTHFD1	0.752979404
POLR2K	0.752979404
HERC4	0.753239413
MMS19	0.754374869
APITD1	0.754471979
UFC1	0.755971817
ABCB1	0.756017372
ALDOA	0.756017372
MBD1	0.757072189
GPR89B	0.757086222
STMN4	0.75767687
EIF5	0.758441101
PALMD	0.758846482
WNT3	0.759805217
BNIP3	0.759831572
MAGEH1	0.759831572
WDR7	0.759831572
BACE1	0.759991253
WARS	0.760674965
ACTL6B	0.761964931
HBG2	0.762052105
MAP1A	0.763364647
MSN	0.765082494
C11orf41	0.765736956
GPR27	0.765736956
NKX3-2	0.766893159
ZFP36	0.766893159
RPS20	0.76754885
PSMAL	0.768588672
COL9A3	0.769316406
PDGFRA	0.769926034
EIF4A1	0.770001488
ADAMTS1	0.770039356
MRPL3	0.770130196
TBCE	0.771254107
PDE4C	0.771939955
HSPB3	0.771958128
CHODL	0.772793287
TGFB3	0.773546476
MOXD1	0.773990846
RPL14	0.774685984
PER3	0.774696158
WWC2	0.774696158
BCOR	0.774824239
C14orf94	0.775162357
NPR2	0.775162357
SSBP1	0.775759189
SPHK1	0.776819172
CCL2	0.778023939
CHGA	0.778729563
TM4SF4	0.778729563
JOSD3	0.780392242
RPL37	0.781778109
CYBA	0.783027542
CCNI	0.783053582
DKK3	0.783554095
C22orf9	0.784673888
ADH1A	0.784899257
SNAI1	0.785356835
RAD23B	0.785508011
WAC	0.785568586
CKB	0.785676067
MICA	0.785676067
PLCL1	0.78673169
MAPK8IP1	0.787688203
ABCG1	0.787913823
ACTR3B	0.788701702
HLA-F	0.788701702
NUP98	0.789400402
MDFIC	0.789910289
SULT1A2	0.791735498
RGL1	0.79188792
CTNND1	0.792283785
RNF103	0.792896691
HIG2	0.792909247
EGLN1	0.793634632
KLF12	0.7937326
AUTS2	0.7945676
METAP1	0.7945676
UBE2E1	0.7945676
BAZ2A	0.79709084
SH2D2A	0.797513197
HTR4	0.79778543
RASSF2	0.798247644
hCG_1776980	0.799470254
HOXD13	0.799470254
MRPL13	0.799470254
P4HA1	0.799470254
MFN1	0.800749841
EIF3CL	0.801095797
PSPC1	0.801134972
C4orf18	0.801653388
ACTR10	0.802111962
TUSC2	0.802111962
RRBP1	0.803521873
CNTN2	0.803526898
FGF5	0.804266549
NAV3	0.804342397
VTI1B	0.804721415
SLC2A2	0.804908169
LIG4	0.805849144
PCDHB6	0.805849144
RGS10	0.806528437
FOXF1	0.80798622
PAX1	0.808115386
FOXA1	0.808747352
IER5	0.811957914
AFF2	0.812047784
C15orf29	0.812047784
CNOT1	0.812047784
RPS6KA2	0.812129142
LSM3	0.812767487
GMPS	0.813941313
LDHC	0.815081237
TUBA1C	0.815081237
GPD2	0.816382264
RREB1	0.816382264
RPL35A	0.816572528
DHRS7	0.818629222
MIZF	0.81997312
TMEM189-UBE2V1	0.820330882
TPM4	0.820477287
MYH3	0.821165104
ANK1	0.821291455
PHLPP	0.821291455
MCM3	0.822433499
NDUFS2	0.822433499
UBA2	0.822433499
TJP1	0.822492637
GOLGA4	0.827247895
CREBL1	0.82942161
SPOP	0.82942161
SERPING1	0.829477994
CYP7B1	0.829654874
RNPEP	0.830286654
TCEA1	0.830286654
CPA1	0.832473294
PHOX2A	0.832473294
SERTAD3	0.832473294
CEP110	0.833193224
EIF2B4	0.835130878
NPAS3	0.840103093
ROCK1	0.840103093
GSTM1	0.840766151
CPB2	0.841117616
TM9SF1	0.841627533
PRKAR2A	0.841970694
RABEP2	0.841970694
RPS10	0.841970694
TXNRD3	0.843224839
TBC1D30	0.843659371
DBF4B	0.844562596
FCHSD2	0.846982824
GPR1	0.847449687
DHRS3	0.84900418
GP1BB	0.84900418
C7orf23	0.850925141
TEAD4	0.852280393
CAND2	0.852403927
CROP	0.852492923
FAM49B	0.852695864
KLF7	0.853270959
SHOX	0.853270959
ADARB1	0.853996147
ATF7IP	0.853996147
CCL13	0.853996147
CSTB	0.853996147
HMGB2	0.853996147
SEC13	0.853996147
TPT1	0.853996147
FASTK	0.85428337
GNL2	0.855564979
TRIM13	0.856491579
GADD45A	0.856644595
NCK2	0.856644595
SLC1A1	0.8568495
LSM14A	0.857441142
EYA4	0.858563251
C20orf117	0.860871047
CCDC69	0.860871047
BTF3	0.861755947
ST18	0.861755947
FLJ20489	0.861789594
VBP1	0.861789594
RPL38	0.862084197
SNX5	0.862156518
ROR2	0.862404732
LARGE	0.863665422
PASK	0.863665422
CADPS	0.863868916
ATP6V0C	0.866005563
TMEM176B	0.866115239
AMOTL2	0.866936094
ETFB	0.869335351
ME2	0.869335351
SH3GL3	0.869335351
TM2D1	0.869335351
MXI1	0.870795194
HBZ	0.87159163
ROBO2	0.871666332
SERPINF2	0.871666332
JTB	0.873712278
NBL1	0.875991271
SNAPC1	0.877523162
ATP6V1F	0.877740186
ANGPTL3	0.877949248
ADFP	0.878479606
FAM8A1	0.878479606
SUV420H1	0.879315756
C1orf218	0.87935459
RND2	0.879568593
CCNG1	0.885028921
HOXD10	0.885028921
GCLC	0.885116106
EPHB2	0.885196521
IARS2	0.885734876
NME2	0.885734876
YME1L1	0.885734876
BHLHB3	0.886111588
COMMD10	0.887907314
GSTM2	0.88847163
CNTN6	0.892925934
PPP1R3D	0.89306384
PABPC4	0.893589952
C14orf124	0.89433329
CNOT7	0.89433329
USP11	0.895194156
POLI	0.897879911
ERBB2IP	0.899893207
FSTL1	0.899893207
ITIH3	0.899893207
DNAJB5	0.900005301
KIAA0649	0.900534524
ZNF423	0.901692909
JMJD2B	0.901874755
FBN1	0.902343704
NAALAD2	0.903417832
SLC25A6	0.903417832
HBG1	0.904511953
EFNA1	0.905826207
SFTPB	0.905988465
UCHL3	0.905988465
HBE1	0.906400934
HSPA12A	0.906709834
MB	0.907299045
DPF1	0.907860741
ST3GAL2	0.90808901
MYL1	0.908411968
MAPKAPK5	0.90881744
NR2E1	0.909250567
NDUFA9	0.909367987
TARDBP	0.909438041
ATP2A1	0.909619533
C19orf62	0.909619533
TMEM204	0.909619533
ANAPC10	0.910141262
PAQR4	0.910141262
RPL13	0.91022976
TSFM	0.910607954
ZNF813	0.910840907
KIAA0564	0.913245969
UBE2H	0.914708609
ABCG2	0.914869935
ZNF440	0.915204725
TMEM163	0.916076221
SFRS11	0.91610313
TULP4	0.917594962
C9orf7	0.917950696
GMEB2	0.917950696
CCNB2	0.918219251
NEB	0.918219251
GOLPH3	0.918583475
GPRASP1	0.918583475
POU3F4	0.919115794
LAMP3	0.919572291
TMEM14A	0.920945378
AGXT	0.921145308
RAB4A	0.921145308
ARHGEF3	0.921196528
HIST3H2A	0.92245949
WDR61	0.922670786
APC2	0.923124841
C18orf1	0.924164952
KCTD9	0.924643934
MMRN1	0.924643934
RABL4	0.924643934
RPL27A	0.925177167
WSB2	0.925177167
HIPK2	0.925422088
RAB32	0.925807276
CHEK2	0.926069148
MRPS30	0.926312137
NFASC	0.926312137
TRAPPC6A	0.926312137
NAGK	0.928628946
CDH19	0.929563071
HSPE1	0.929563071
EEF1G	0.929636079
VAT1	0.930373519
IFI44L	0.930534181
ANK3	0.931265385
GPR89A	0.93236227
LEPRE1	0.93236227
MOBKL2B	0.93236227
PCDHA12	0.93236227
PGAM1	0.93236227
PPP1CC	0.93236227
PRKD1	0.93236227
SDK1	0.93236227
SLC39A4	0.93236227
CTSG	0.932507189
CDSN	0.933029648
ENDOGL1	0.933029648
SOS2	0.933386469
ACVR1	0.935015995
PPFIA3	0.935015995
S100A11	0.935015995
CD83	0.935148837
LRRC1	0.935339583
MTFR1	0.935634126
PDE1A	0.935964521
CDC23	0.937268923
RSAD1	0.937337921
SCRN3	0.937337921
KIAA0430	0.938080293
PITPNB	0.938558075
FOXO4	0.93990555
AXL	0.940348243
CORO1A	0.942095999
GPC5	0.942095999
FLT1	0.942557513
PSMD10	0.942557513
ZNF259	0.942557513
CTSB	0.94297158
DPP6	0.94297158
STAMBP	0.94297158
RND3	0.943225203
AGPAT7	0.943978252
MIF	0.943978252
C16orf72	0.943993433
FOXE1	0.944991307
HDLBP	0.944991307
ZNF74	0.944991307
PRDX3	0.945074323
HAT1	0.945474361
EPHA3	0.945517436
EN2	0.946830965
MON2	0.946891201
MEP1B	0.947120672
TBC1D9	0.947120672
ZNF287	0.94946302
VDAC2	0.950137038
SLC15A1	0.95099284
CLIP3	0.951248165
CFHR1	0.951576965
GCSH	0.952916143
KIAA0232	0.953199263
LMAN2L	0.953199263
CEP170	0.953247346
GPRC5C	0.953710649
CX3CL1	0.955103667
SST	0.955103667
ELA3A	0.955750019
KIR3DL2	0.955750019
RPS7	0.956490479
HLA-DPB1	0.956719738
ATN1	0.957135911
DONSON	0.957254506
ERLIN1	0.958627896
SALL1	0.959063172
CREG1	0.959584815
AADAC	0.95995953
PAX9	0.961100107
TRHDE	0.961100107
PTPRO	0.961159797
ABCE1	0.962276174
MDN1	0.962276174
TMEM50A	0.962276174
LOC171220	0.962904701
SPOCK1	0.962904701
ULK1	0.962904701
A2BP1	0.963684026
ANKRD12	0.964010851
SIP1	0.964106398
TMEM123	0.966601922
CSE1L	0.967124389
ASB8	0.970516355
MTCH2	0.970516355
PVRL2	0.970516355
DYNC1I2	0.970887092
EBP	0.972113922
HOOK2	0.972113922
DUSP9	0.972851353
PAK1	0.972851353
RPN1	0.972851353
RAN	0.973532894
RPL26	0.974151862
NKX3-1	0.974615788
GNAZ	0.974649705
MYOG	0.974931912
FEZ1	0.975260242
H3F3A	0.976137544
LMO3	0.976218664
LRTM1	0.976984366
CHRNA4	0.97877656
CCT3	0.978972447
FAM21C	0.979510435
FXYD5	0.979516641
CDC25B	0.980460503
FHL1	0.980728492
DKFZP586H2123	0.980751332
CCNE1	0.981291824
SULT1E1	0.981381955
C1QA	0.981750784
GEM	0.983280516
SPCS1	0.984140895
INPP5E	0.984266145
CRELD2	0.987273853
CTNNA1	0.987273853
MRPL17	0.987289588
SERP1	0.987289588
NKX2-2	0.98780556
UBE2D2	0.987842839
SLC1A4	0.987860274
CRYM	0.988753668
SOSTDC1	0.989472915
TST	0.989757778
PTGER4	0.991762742
GIMAP6	0.992805282
APEH	0.99305506
CFDP1	0.994838137
C11orf58	0.994913612
C11orf80	0.994913612
PRR16	0.994913612
TANK	0.994913612
TMSB10	0.994913612
RAB20	0.995001132
NUP205	0.995188946
RBM34	0.995570925
SNRPG	0.99618079
PPIB	0.997208367
RBM13	0.998481671
PAIP1	0.999253038
STX12	0.999270857
FAM111A	0.999471822
BAI2	0.999604486
